Date,Description,Amount,Type
2024-09-03,Uber Trip,28.56,Withdrawal
2024-09-03,El Triunfo,17.35,Withdrawal
2024-09-03,Interstate Parking,49.08,Withdrawal
2024-09-03,Culvers of Northfield,26.71,Withdrawal
2024-09-03,Zelle to Ghanim Abdu,25.00,Withdrawal
2024-09-03,Costco,71.02,Withdrawal
2024-09-03,ATM Withdrawal,340.00,Withdrawal
2024-09-04,Ameritas Insurance,109.62,Withdrawal
2024-09-04,Aldi,127.45,Withdrawal
2024-09-04,Progressive Insurance,118.53,Withdrawal
2024-09-06,St Olaf Clg Cage,3.76,Withdrawal
2024-09-06,C N S Vending,2.35,Withdrawal
2024-09-09,Gillette Pepsi,3.35,Withdrawal
2024-09-09,Tst* Fairfield Inn,7.00,Withdrawal
2024-09-09,Ziggy's,21.30,Withdrawal
2024-09-09,Mnrd-Dundas,17.77,Withdrawal
2024-09-10,C N S Vending,2.35,Withdrawal
2024-09-10,Gillette Pepsi,3.35,Withdrawal
2024-09-10,Vioc Oil Change,38.54,Withdrawal
2024-09-10,St Olaf Clg Cage,2.68,Withdrawal
2024-09-10,Kwik-Trip,11.92,Withdrawal
2024-09-11,C N S Vending,2.35,Withdrawal
2024-09-11,Snack Soda Vending,2.35,Withdrawal
2024-09-11,Aldi,25.87,Withdrawal
2024-09-11,Aldi,7.82,Withdrawal
2024-09-13,Apple.Com/Bill,0.99,Withdrawal
2024-09-13,St Olaf Clg Cage,5.91,Withdrawal
2024-09-13,Gillette Pepsi,2.85,Withdrawal
2024-09-13,C N S Vending,2.35,Withdrawal
2024-09-13,Snack Soda Vending,2.35,Withdrawal
2024-09-18,Supportpdffiller,1.50,Withdrawal
2024-09-19,Venmo Cashout,100.00,Deposit
2024-09-20,Purchase Return Supportpdffiller,1.50,Deposit
2024-09-25,Rocket Money Premium,5.00,Withdrawal
2024-09-30,Microsoft*Ultimate,21.46,Withdrawal
2024-09-01,Opening Balance,350.20,Deposit
2024-09-05,Reversal of Preauthorized Deposit from WELLS FARGO BANK NA,350.00,Withdrawal
2024-09-13,Deposit from ST. OLAF COLLEGE,5715.05,Deposit
2024-09-13,WALGREENS STORE Purchase,48.04,Withdrawal
2024-09-13,Zelle money sent to KEVORK HANOUNIK,430.00,Withdrawal
2024-09-13,CAPITAL ONE MOBILE Payment,215.00,Withdrawal
2024-09-14,Transfer to Performance Savings,5000.00,Withdrawal
2024-09-14,Deposit from Performance Savings,100.00,Deposit
2024-09-14,DOWN TOWN TOBACCO Purchase,24.69,Withdrawal
2024-09-14,FORGET ME NOT FLOR Purchase,16.00,Withdrawal
2024-09-14,GILLETTE PEPSI Purchase,3.35,Withdrawal
2024-09-14,C N S VENDING Purchase,2.35,Withdrawal
2024-09-17,ST OLAF CLG CAGE Purchase,14.54,Withdrawal
2024-09-17,ST OLAF CLG CAGE Purchase,8.86,Withdrawal
2024-09-17,SNACK SODA VENDING Purchase,2.35,Withdrawal
2024-09-18,THE BLAST Purchase,14.23,Withdrawal
2024-09-18,SNACK SODA VENDING Purchase,2.60,Withdrawal
2024-09-18,C N S VENDING Purchase,1.85,Withdrawal
2024-09-18,C N S VENDING Purchase,2.35,Withdrawal
2024-09-19,Deposit from St. Olaf College,84.60,Deposit
2024-09-19,Deposit from Performance Savings,100.01,Deposit
2024-09-19,KWIK-TRIP Purchase,22.00,Withdrawal
2024-09-19,WALGREENS STORE Purchase,2.43,Withdrawal
2024-09-19,KWIK-TRIP Purchase,24.01,Withdrawal
2024-09-20,ST OLAF CLG CAGE Purchase,19.01,Withdrawal
2024-09-21,KWIK TRIP Purchase,15.00,Withdrawal
2024-09-21,ST OLAF CLG CAGE Purchase,18.35,Withdrawal
2024-09-23,ST OLAF CLG CAGE Purchase,3.22,Withdrawal
2024-09-24,DOWN TOWN TOBACCO Purchase,24.69,Withdrawal
2024-09-25,TOBACCO FIELD Purchase,40.74,Withdrawal
2024-09-25,GILLETTE PEPSI Purchase,2.85,Withdrawal
2024-09-25,SNACK SODA VENDING Purchase,2.35,Withdrawal
2024-09-26,OLAF COLL BOOKSTORE Purchase,4.07,Withdrawal
2024-09-26,ST OLAF CLG CAGE Purchase,9.66,Withdrawal
2024-09-27,DOLLAR GENERAL Purchase,8.32,Withdrawal
2024-09-27,GILLETTE PEPSI Purchase,3.25,Withdrawal
2024-09-27,SNACK SODA VENDING Purchase,2.25,Withdrawal
2024-09-27,C N S VENDING Purchase,2.35,Withdrawal
2024-09-27,Deposit from Performance Savings,100.00,Deposit
2024-09-28,KWIK-TRIP Purchase,10.01,Withdrawal
2024-09-28,Deposit from Performance Savings,300.00,Deposit
2024-09-28,Zelle money sent to GIULIA FLORES,200.00,Withdrawal
2024-09-28,COSTCO WHSE Purchase,5.93,Withdrawal
2024-09-28,COSTCO WHSE Purchase,4.87,Withdrawal
2024-09-28,COSTCO WHSE Purchase,4.30,Withdrawal
2024-09-28,KWIK-TRIP Purchase,30.02,Withdrawal
2024-09-30,C N S VENDING Purchase,1.85,Withdrawal
2024-09-30,C N S VENDING Purchase,1.85,Withdrawal
2024-09-30,C N S VENDING Purchase,2.35,Withdrawal
2024-09-30,Monthly Interest Paid,0.02,Deposit
2024-09-30,Closing Balance,139.97,Deposit
